userId,movieId,rating
1,14,2
1,40,1
1,31,2
1,46,5
1,18,2
2,31,3
2,37,1
2,3,3
2,50,3
2,46,1
3,16,5
3,43,1
3,36,5
3,2,4
3,6,4
4,32,3
4,16,2
4,31,5
4,18,4
4,14,2
5,14,2
5,42,1
5,48,4
5,25,4
5,10,1
6,27,5
6,47,3
6,44,3
6,42,3
6,29,2
7,43,2
7,16,2
7,45,3
7,13,2
7,46,1
8,42,4
8,35,2
8,50,3
8,29,1
8,3,3
9,11,2
9,33,2
9,45,3
9,18,2
9,46,1
10,21,5
10,6,1
10,31,4
10,49,2
10,43,5
11,2,1
11,29,5
11,6,5
11,42,2
11,45,2
12,24,2
12,25,4
12,48,4
12,22,5
12,28,1
13,34,4
13,24,3
13,41,1
13,27,1
13,7,1
14,4,5
14,36,1
14,38,1
14,34,3
14,48,5
15,20,3
15,43,1
15,37,5
15,10,5
15,9,4
16,36,2
16,30,4
16,46,1
16,43,1
16,26,3
17,32,4
17,31,2
17,27,2
17,16,3
17,11,3
18,7,1
18,29,2
18,23,5
18,36,3
18,1,4
19,19,3
19,42,3
19,7,2
19,32,4
19,16,1
20,30,4
20,11,2
20,34,2
20,20,5
20,9,3
